Picture,DistortionType,DistortionValue,Filename,Method,Value
Hotdog,Blur,2.0,Hotdog_blur_2.png,SSIM,0.9277873689948724
Hotdog,Blur,2.0,Hotdog_blur_2.png,PSNR,35.274885658861244
Hotdog,Blur,20.0,Hotdog_blur_20.png,LPIPS,0.31454384326934814
Hotdog,Blur,20.0,Hotdog_blur_20.png,SSIM,0.8161780146396319
Hotdog,Blur,20.0,Hotdog_blur_20.png,PSNR,25.660524217505255
Hotdog,Blur,2.0,Hotdog_blur_2_0.png,LPIPS,0.00101596734020859
Hotdog,Blur,2.0,Hotdog_blur_2_0.png,SSIM,0.9277873689948724
Hotdog,Blur,2.0,Hotdog_blur_2_0.png,PSNR,35.274885658861244
Hotdog,Blur,30.0,Hotdog_blur_30.png,LPIPS,0.4355672597885132
Hotdog,Blur,30.0,Hotdog_blur_30.png,SSIM,0.8050430546846625
Hotdog,Blur,30.0,Hotdog_blur_30.png,PSNR,24.07600574644176
Hotdog,Blur,40.0,Hotdog_blur_40.png,LPIPS,0.5348535776138306
Hotdog,Blur,40.0,Hotdog_blur_40.png,SSIM,0.7984399851736507
Hotdog,Blur,40.0,Hotdog_blur_40.png,PSNR,22.989562042467778
Hotdog,Blur,5.0,Hotdog_blur_5.png,LPIPS,0.02280592918395996
Hotdog,Blur,5.0,Hotdog_blur_5.png,SSIM,0.8749558846745035
Hotdog,Blur,5.0,Hotdog_blur_5.png,PSNR,31.489158934688454
Hotdog,Blur,50.0,Hotdog_blur_50.png,LPIPS,0.6070911884307861
Hotdog,Blur,50.0,Hotdog_blur_50.png,SSIM,0.7937195681404513
Hotdog,Blur,50.0,Hotdog_blur_50.png,PSNR,22.18580173769334
Hotdog,Blur,5.0,Hotdog_blur_5_0.png,LPIPS,0.02280592918395996
Hotdog,Blur,5.0,Hotdog_blur_5_0.png,SSIM,0.8749558846745035
Hotdog,Blur,5.0,Hotdog_blur_5_0.png,PSNR,31.489158934688454
Hotdog,Blur,60.0,Hotdog_blur_60.png,LPIPS,0.6537318229675293
Hotdog,Blur,60.0,Hotdog_blur_60.png,SSIM,0.7900290844431545
Hotdog,Blur,60.0,Hotdog_blur_60.png,PSNR,21.564321003014268
Hotdog,Blur,70.0,Hotdog_blur_70.png,LPIPS,0.6874380707740784
Hotdog,Blur,70.0,Hotdog_blur_70.png,SSIM,0.7867454011854481
Hotdog,Blur,70.0,Hotdog_blur_70.png,PSNR,21.045795197835876
Hotdog,Blur,80.0,Hotdog_blur_80.png,LPIPS,0.711394190788269
Hotdog,Blur,80.0,Hotdog_blur_80.png,SSIM,0.7838019847441898
Hotdog,Blur,80.0,Hotdog_blur_80.png,PSNR,20.605400386082234
Hotdog,Blur,90.0,Hotdog_blur_90.png,LPIPS,0.7283228039741516
Hotdog,Blur,90.0,Hotdog_blur_90.png,SSIM,0.7811312088940099
Hotdog,Blur,90.0,Hotdog_blur_90.png,PSNR,20.22109882287441
Hotdog,Brightness,0.0,Hotdog_brightness_0.bmp,LPIPS,0.0
Hotdog,Brightness,0.0,Hotdog_brightness_0.bmp,SSIM,1.0
Hotdog,Brightness,0.0,Hotdog_brightness_0.bmp,PSNR,inf
Hotdog,Brightness,1.0,Hotdog_brightness_1.png,LPIPS,0.0
Hotdog,Brightness,1.0,Hotdog_brightness_1.png,SSIM,1.0
Hotdog,Brightness,1.0,Hotdog_brightness_1.png,PSNR,inf
Hotdog,Brightness,10.0,Hotdog_brightness_10.png,LPIPS,0.6779037117958069
Hotdog,Brightness,10.0,Hotdog_brightness_10.png,SSIM,0.6337335277371708
Hotdog,Brightness,10.0,Hotdog_brightness_10.png,PSNR,6.094901387583435
Hotdog,Brightness,12.0,Hotdog_brightness_12.png,LPIPS,0.6979625225067139
Hotdog,Brightness,12.0,Hotdog_brightness_12.png,SSIM,0.6327468527229475
Hotdog,Brightness,12.0,Hotdog_brightness_12.png,PSNR,6.0400807910769405
Hotdog,Brightness,14.0,Hotdog_brightness_14.png,LPIPS,0.7122392058372498
Hotdog,Brightness,14.0,Hotdog_brightness_14.png,SSIM,0.6320287734232647
Hotdog,Brightness,14.0,Hotdog_brightness_14.png,PSNR,6.0077371513890565
Hotdog,Brightness,16.0,Hotdog_brightness_16.png,LPIPS,0.7217199206352234
Hotdog,Brightness,16.0,Hotdog_brightness_16.png,SSIM,0.6315165166205424
Hotdog,Brightness,16.0,Hotdog_brightness_16.png,PSNR,5.984410668209588
Hotdog,Brightness,18.0,Hotdog_brightness_18.png,LPIPS,0.728560745716095
Hotdog,Brightness,18.0,Hotdog_brightness_18.png,SSIM,0.631172402551941
Hotdog,Brightness,18.0,Hotdog_brightness_18.png,PSNR,5.965891365514759
Hotdog,Brightness,2.0,Hotdog_brightness_2.png,LPIPS,0.3417379558086395
Hotdog,Brightness,2.0,Hotdog_brightness_2.png,SSIM,0.7624987485466453
Hotdog,Brightness,2.0,Hotdog_brightness_2.png,PSNR,8.842522719076127
Hotdog,Brightness,20.0,Hotdog_brightness_20.png,LPIPS,0.7332258820533752
Hotdog,Brightness,20.0,Hotdog_brightness_20.png,SSIM,0.6309253490421249
Hotdog,Brightness,20.0,Hotdog_brightness_20.png,PSNR,5.9504437298282955
Hotdog,Brightness,3.0,Hotdog_brightness_3.png,LPIPS,0.5073862075805664
Hotdog,Brightness,3.0,Hotdog_brightness_3.png,SSIM,0.6864013880584711
Hotdog,Brightness,3.0,Hotdog_brightness_3.png,PSNR,7.666902143234543
Hotdog,Brightness,4.0,Hotdog_brightness_4.png,LPIPS,0.5585353374481201
Hotdog,Brightness,4.0,Hotdog_brightness_4.png,SSIM,0.6583957790890583
