Picture,DistortionType,DistortionValue,Filename,Metric,Method,Value
Degus,Circularblur,7.5,Degus_circularBlur_7_5.png,PSNR,PSNR_skimage,21.78151577029987
Degus,Circularblur,7.5,Degus_circularBlur_7_5.png,UIQI,UIQI_torch,0.0637
Degus,Circularblur,7.5,Degus_circularBlur_7_5.png,VIF,VIF_Torch,1.9823
Degus,Dilation,0.0,Degus_dilation_0.bmp,LPIPS,LPIPS_lpips,0.0
Degus,Dilation,0.0,Degus_dilation_0.bmp,SSIM,SSIM_skimage,1.0
Degus,Dilation,0.0,Degus_dilation_0.bmp,PSNR,PSNR_skimage,inf
Degus,Dilation,0.0,Degus_dilation_0.bmp,UIQI,UIQI_torch,0.9867
Degus,Dilation,0.0,Degus_dilation_0.bmp,VIF,VIF_Torch,1.0
Degus,Dilation,1.0,Degus_dilation_1.png,LPIPS,LPIPS_lpips,0.013242973014712334
Degus,Dilation,1.0,Degus_dilation_1.png,SSIM,SSIM_skimage,0.8435970718918036
Degus,Dilation,1.0,Degus_dilation_1.png,PSNR,PSNR_skimage,25.05592652088569
Degus,Dilation,1.0,Degus_dilation_1.png,UIQI,UIQI_torch,0.5476
Degus,Dilation,1.0,Degus_dilation_1.png,VIF,VIF_Torch,0.9031
Degus,Dilation,2.0,Degus_dilation_2.png,LPIPS,LPIPS_lpips,0.04583590105175972
Degus,Dilation,2.0,Degus_dilation_2.png,SSIM,SSIM_skimage,0.6863652415805478
Degus,Dilation,2.0,Degus_dilation_2.png,PSNR,PSNR_skimage,20.047975265942107
Degus,Dilation,2.0,Degus_dilation_2.png,UIQI,UIQI_torch,0.235
Degus,Dilation,2.0,Degus_dilation_2.png,VIF,VIF_Torch,0.8762
Degus,Dilation,3.0,Degus_dilation_3.png,LPIPS,LPIPS_lpips,0.07617950439453125
Degus,Dilation,3.0,Degus_dilation_3.png,SSIM,SSIM_skimage,0.5812660565414643
Degus,Dilation,3.0,Degus_dilation_3.png,PSNR,PSNR_skimage,17.981442230241257
Degus,Dilation,3.0,Degus_dilation_3.png,UIQI,UIQI_torch,0.1258
Degus,Dilation,3.0,Degus_dilation_3.png,VIF,VIF_Torch,0.8075
Degus,Dilation,4.0,Degus_dilation_4.png,LPIPS,LPIPS_lpips,0.11011595278978348
Degus,Dilation,4.0,Degus_dilation_4.png,SSIM,SSIM_skimage,0.4950874026021687
Degus,Dilation,4.0,Degus_dilation_4.png,PSNR,PSNR_skimage,16.57542461653545
Degus,Dilation,4.0,Degus_dilation_4.png,UIQI,UIQI_torch,0.0643
Degus,Dilation,4.0,Degus_dilation_4.png,VIF,VIF_Torch,0.6863
Degus,Dilation,5.0,Degus_dilation_5.png,LPIPS,LPIPS_lpips,0.1405121386051178
Degus,Dilation,5.0,Degus_dilation_5.png,SSIM,SSIM_skimage,0.4460124182724951
Degus,Dilation,5.0,Degus_dilation_5.png,PSNR,PSNR_skimage,15.698605983384017
Degus,Dilation,5.0,Degus_dilation_5.png,UIQI,UIQI_torch,0.0339
Degus,Dilation,5.0,Degus_dilation_5.png,VIF,VIF_Torch,0.578
Degus,Hole,0.0,Degus_hole_0.bmp,LPIPS,LPIPS_lpips,0.0
