image_id,distortion_id,ssim_skimage,ssim_sewar,ssi_m_pil
07,02,0.464298,0.537144,0.465856
07,03,0.454819,0.517582,0.456771
07,04,0.626989,0.683592,0.623788
07,05,0.218795,0.270437,0.220237
07,06,0.491626,0.513984,0.491575
07,07,0.67812,0.694753,0.679216
07,08,0.581105,0.612365,0.577155
07,09,0.651614,0.659515,0.652382
07,10,0.685858,0.710004,0.685901
07,11,0.515359,0.498217,0.516711
07,12,0.553991,0.585953,0.554121
07,13,0.436315,0.486787,0.438269
07,14,0.901045,0.898851,0.899889
07,15,0.98653,0.9842,0.986291
07,16,0.793226,0.804516,0.792934
07,17,0.851437,0.836926,0.851758
07,18,0.93662,0.931115,0.93685
07,19,0.487386,0.55236,0.489355
07,20,0.4595,0.501207,0.460031
07,21,0.390258,0.458103,0.39205
07,22,0.565021,0.594176,0.570436
07,23,0.611037,0.60869,0.613267
07,24,0.522629,0.496975,0.528529
08,01,0.601172,0.665883,0.600959
08,02,0.625201,0.685614,0.624796
08,03,0.622505,0.674195,0.621692
08,04,0.776776,0.823752,0.776538
08,05,0.371092,0.434857,0.371197
08,06,0.620945,0.646331,0.620383
08,07,0.695445,0.739485,0.697128
08,08,0.387629,0.454648,0.385639
08,09,0.513192,0.557118,0.51671
08,10,0.592761,0.651549,0.596119
08,11,0.578191,0.641335,0.580549
08,12,0.877934,0.884354,0.884109
08,13,0.660746,0.702206,0.659819
08,14,0.860151,0.858821,0.8629
08,15,0.988414,0.987015,0.988198
08,16,0.837818,0.849715,0.840315
08,17,0.815196,0.809028,0.816468
08,18,0.94195,0.943118,0.942147
08,19,0.656762,0.711811,0.65474
08,20,0.534977,0.620488,0.535058
08,21,0.571337,0.63842,0.570742
08,22,0.733286,0.776303,0.733105
08,23,0.789625,0.81767,0.791678
08,24,0.590571,0.652696,0.591698
09,01,0.345198,0.399563,0.351241
09,02,0.377009,0.429332,0.382634
09,03,0.368548,0.40877,0.374455
09,04,0.671908,0.715351,0.676145
09,05,0.172723,0.213947,0.175821
09,06,0.430358,0.423521,0.434969
09,07,0.708395,0.717219,0.711889
09,08,0.650254,0.681722,0.654936
09,09,0.65405,0.655776,0.662942
09,10,0.672258,0.68905,0.6826
09,11,0.578431,0.567988,0.584252
09,12,0.562099,0.599723,0.578727
09,13,0.403327,0.443395,0.412595
09,14,0.892958,0.890165,0.894741
09,15,0.987465,0.985813,0.987384
09,16,0.874465,0.879371,0.875726
09,17,0.880776,0.869717,0.880474
09,18,0.941983,0.934359,0.942605
09,19,0.394935,0.444388,0.399955
09,20,0.367116,0.409685,0.385631
09,21,0.319313,0.366798,0.328175
09,22,0.543712,0.573084,0.549396
09,23,0.635463,0.644282,0.644224
09,24,0.556239,0.534745,0.569379
10,01,0.337407,0.386455,0.344216
10,02,0.372897,0.420558,0.378978
10,03,0.363578,0.397932,0.369956
10,04,0.607583,0.651347,0.610833
10,05,0.152391,0.18458,0.157479
10,06,0.429386,0.419757,0.436363
10,07,0.641866,0.645177,0.64855
10,08,0.632116,0.661282,0.635776
10,09,0.597672,0.591878,0.603994
10,10,0.637884,0.653621,0.648203
10,11,0.540303,0.511442,0.539082
10,12,0.504903,0.534252,0.511467
10,13,0.458295,0.471249,0.46565
10,14,0.880916,0.877507,0.884656
10,15,0.987212,0.984314,0.987178
10,16,0.878348,0.884315,0.879122
10,17,0.875724,0.864326,0.875803
10,18,0.927442,0.922015,0.928438
10,19,0.378894,0.420859,0.384981
10,20,0.231039,0.257538,0.2436
10,21,0.270505,0.310518,0.277086
10,22,0.447665,0.480446,0.454137
10,23,0.538365,0.518578,0.543521
10,24,0.522272,0.483325,0.527172
11,01,0.450434,0.513752,0.44722
11,02,0.482725,0.543386,0.479539
11,03,0.474842,0.523031,0.471428
11,04,0.64962,0.700822,0.648305
11,05,0.228956,0.275755,0.227904
11,06,0.487164,0.49309,0.483016
11,07,0.514526,0.553092,0.516756
11,08,0.502731,0.548776,0.499422
11,09,0.460664,0.483087,0.466055
11,10,0.531343,0.566902,0.535505
11,11,0.430107,0.441261,0.43622
11,12,0.47374,0.518152,0.481379
11,13,0.459258,0.502595,0.458912
11,14,0.863169,0.855385,0.864276
11,15,0.987212,0.985481,0.988106
11,16,0.635187,0.645944,0.635183
11,17,0.793017,0.783968,0.794324
11,18,0.908107,0.901962,0.906572
11,19,0.569119,0.623075,0.567553
11,20,0.323039,0.401968,0.328074
11,21,0.39584,0.45692,0.395398
11,22,0.578721,0.612876,0.57745
11,23,0.526024,0.551151,0.533399
11,24,0.426979,0.437175,0.435006
12,01,0.304904,0.348939,0.307615
12,02,0.343405,0.386526,0.346385
12,03,0.331605,0.35917,0.334324
12,04,0.520276,0.552671,0.522556
12,05,0.132223,0.163473,0.133698
12,06,0.383973,0.357093,0.385544
12,07,0.62467,0.617972,0.628454
12,08,0.621804,0.640525,0.617954
12,09,0.602037,0.589486,0.607214
12,10,0.590688,0.586653,0.597144
12,11,0.541534,0.503745,0.544417
12,12,0.585672,0.607106,0.593749
12,13,0.731977,0.745476,0.73414
12,14,0.877973,0.870002,0.879025
12,15,0.987175,0.983997,0.987986
12,16,0.90206,0.905708,0.902763
12,17,0.875791,0.864841,0.876491
12,18,0.953304,0.94717,0.953411
