image_id,distortion_id,psnr_skimage,psnr_sewar,psnr_manual
09,18,20.993233,20.993233,30.843773
09,19,20.995522,20.995522,28.850868
09,20,21.016533,21.016533,29.50448
09,21,20.989887,20.989887,28.607924
09,22,20.897451,20.897451,28.863659
09,23,20.884501,20.884501,31.697437
09,24,21.033959,21.033959,29.353748
10,01,21.033233,21.033233,28.538428
10,02,21.195213,21.195213,28.697773
10,03,21.03242,21.03242,28.547584
10,04,21.50199,21.50199,30.276159
10,05,14.981207,14.981207,27.994624
10,06,21.093438,21.093438,39.554197
10,07,21.317249,21.317249,28.409967
10,08,23.930291,23.930291,31.304853
10,09,23.276943,23.276943,29.595244
10,10,23.722351,23.722351,29.342368
10,11,20.992968,20.992968,29.308162
10,12,20.831942,20.831942,30.40354
10,13,20.249276,20.249276,29.206735
10,14,24.839956,24.839956,37.559785
10,15,23.866161,23.866161,47.484858
10,16,16.188445,16.188445,29.911457
10,17,21.135621,21.135621,28.624693
10,18,22.171412,22.171412,29.219916
10,19,20.995442,20.995442,28.843844
10,20,21.002901,21.002901,29.311799
10,21,20.941964,20.941964,28.588542
10,22,21.612613,21.612613,28.541678
10,23,20.874954,20.874954,30.272831
10,24,20.88828,20.88828,29.358481
11,01,21.25879,21.25879,28.536104
11,02,21.499815,21.499815,28.721497
11,03,21.269738,21.269738,28.547333
11,04,21.340027,21.340027,29.740913
11,05,15.427804,15.427804,27.998577
11,06,19.799685,19.799685,39.588828
11,07,20.90411,20.90411,28.148647
11,08,21.967708,21.967708,30.10431
11,09,20.547616,20.547616,28.536079
11,10,21.581553,21.581553,28.746317
11,11,21.106665,21.106665,29.220517
11,12,21.004228,21.004228,30.047015
11,13,21.339292,21.339292,28.768789
11,14,23.065774,23.065774,37.130072
11,15,25.281526,25.281526,47.500433
11,16,16.876391,16.876391,29.361771
11,17,20.587839,20.587839,28.427978
11,18,20.985781,20.985781,28.388227
11,19,21.022509,21.022509,29.415076
11,20,20.938861,20.938861,29.333639
11,21,20.901055,20.901055,28.435804
11,22,20.801924,20.801924,29.018659
11,23,21.004521,21.004521,30.511199
11,24,20.955748,20.955748,29.288889
12,01,21.070181,21.070181,28.549797
12,02,21.226176,21.226176,28.714919
12,03,21.08595,21.08595,28.564149
12,04,21.396018,21.396018,29.899413
12,05,15.246733,15.246733,27.996877
12,06,20.294228,20.294228,39.565609
12,07,21.217101,21.217101,28.240883
12,08,23.600036,23.600036,31.507278
12,09,23.153017,23.153017,28.930116
12,10,23.323387,23.323387,29.10346
12,11,21.0841,21.0841,29.086208
12,12,21.145937,21.145937,30.869884
12,13,20.574305,20.574305,32.109323
12,14,25.526205,25.526205,37.664536
12,15,25.247121,25.247121,47.339536
12,16,16.112668,16.112668,29.998574
12,17,19.738785,19.738785,28.261769
