image_id,distortion_id,psnr_skimage,psnr_sewar,psnr_manual
08,02,0.125285,0.060953,0.067227
08,03,0.338209,0.281973,0.223173
08,04,0.021336,0.005518,0.009436
08,05,0.231769,0.105914,0.153594
08,06,0.215215,0.121269,0.133577
08,07,0.249076,0.148774,0.128344
08,08,0.423345,0.595197,0.497111
08,09,0.433037,0.477963,0.347359
08,10,0.414023,0.254,0.269163
08,11,0.385856,0.328648,0.252862
08,12,0.098661,0.058536,0.04532
08,13,0.31674,0.289266,0.206191
08,14,0.109215,0.087222,0.052864
08,15,0.02142,0.055838,0.019431
08,16,0.034588,0.03323,0.042676
08,17,0.066532,0.09324,0.081646
08,18,0.190677,0.15867,0.148501
08,19,0.141734,0.077213,0.080607
08,20,0.165499,0.052941,0.058008
08,21,0.314265,0.153649,0.142388
08,22,0.184707,0.12333,0.095672
08,23,0.077367,0.071769,0.042303
08,24,0.336215,0.279744,0.212973
09,01,0.343504,0.217328,0.21615
09,02,0.266293,0.170821,0.168674
09,03,0.503079,0.449583,0.381102
09,04,0.067257,0.01654,0.031605
09,05,0.396451,0.275115,0.302786
09,06,0.345384,0.224481,0.22837
09,07,0.399765,0.204033,0.18524
09,08,0.387432,0.401413,0.369877
09,09,0.47721,0.419456,0.339368
09,10,0.533138,0.24153,0.27486
09,11,0.639663,0.58089,0.568808
09,12,0.323879,0.194173,0.17561
09,13,0.3859,0.303495,0.209282
09,14,0.109636,0.074529,0.048772
09,15,0.017229,0.02313,0.01313
09,16,0.029293,0.044052,0.034077
09,17,0.092545,0.093914,0.072447
09,18,0.294641,0.215696,0.170462
09,19,0.326347,0.21529,0.198989
09,20,0.358488,0.166228,0.158525
09,21,0.519309,0.354308,0.335549
09,22,0.345141,0.234114,0.189438
09,23,0.376468,0.374046,0.308145
09,24,0.577779,0.560962,0.518226
10,01,0.33846,0.282586,0.26335
10,02,0.256109,0.219755,0.196268
10,03,0.519947,0.550613,0.449661
10,04,0.057016,0.012882,0.029617
10,05,0.40821,0.36146,0.378345
10,06,0.343832,0.309109,0.277786
10,07,0.453627,0.332788,0.244419
10,08,0.418928,0.467654,0.405663
10,09,0.551001,0.609349,0.439879
10,10,0.628914,0.38372,0.347129
10,11,0.73289,0.838401,0.816009
10,12,0.353288,0.267379,0.19285
10,13,0.463634,0.420712,0.305568
10,14,0.102968,0.070485,0.042887
10,15,0.02187,0.042841,0.016597
10,16,0.030874,0.039684,0.035182
10,17,0.071412,0.102637,0.074488
10,18,0.331614,0.237069,0.208067
10,19,0.337905,0.29782,0.257905
10,20,0.357489,0.211083,0.166236
10,21,0.559305,0.457762,0.411458
10,22,0.316245,0.237628,0.217842
10,23,0.586497,0.641833,0.625968
10,24,0.636902,0.704552,0.663246
11,01,0.249691,0.153365,0.160737
11,02,0.193603,0.111646,0.11796
11,03,0.437564,0.417906,0.315966
11,04,0.043382,0.009309,0.01824
11,05,0.319407,0.208727,0.251964
11,06,0.278586,0.221897,0.188142
11,07,0.301318,0.22822,0.153241
11,08,0.430844,0.515229,0.472754
11,09,0.510911,0.590709,0.432033
11,10,0.531789,0.339902,0.315949
11,11,0.598203,0.646648,0.601419
11,12,0.324676,0.237569,0.165633
11,13,0.41635,0.354437,0.270185
11,14,0.112076,0.084252,0.046731
11,15,0.031631,0.066413,0.027257
11,16,0.113912,0.079295,0.07043
11,17,0.077031,0.100811,0.071861
11,18,0.264245,0.210492,0.199042
11,19,0.207083,0.118042,0.124503
11,20,0.256628,0.10607,0.107138
11,21,0.422907,0.237368,0.228863
11,22,0.364916,0.205382,0.18454
11,23,0.372627,0.494744,0.320193
11,24,0.572804,0.56249,0.53067
12,01,0.332858,0.24762,0.19792
12,02,0.248464,0.201995,0.141705
12,03,0.518792,0.455319,0.344539
12,04,0.074837,0.020504,0.032874
12,05,0.410816,0.316225,0.273023
12,06,0.423529,0.316228,0.231753
12,07,0.426407,0.273314,0.186322
12,08,0.430579,0.451782,0.360339
12,09,0.502884,0.471042,0.376548
12,10,0.551129,0.344058,0.357104
12,11,0.67098,0.685102,0.676092
12,12,0.28975,0.193252,0.148969
12,13,0.192039,0.092389,0.087371
12,14,0.09003,0.063721,0.040309
12,15,0.046212,0.104777,0.048892
12,16,0.018805,0.041017,0.032657
12,17,0.066486,0.088664,0.055094
12,18,0.346018,0.228067,0.175731
12,19,0.337501,0.25289,0.173929
12,20,0.33169,0.146255,0.116632
12,21,0.529473,0.404396,0.328585
12,22,0.40826,0.268566,0.215306
12,23,0.497926,0.491669,0.405995
12,24,0.626337,0.63733,0.598438
13,01,0.172091,0.103958,0.081197
13,02,0.142876,0.090887,0.064002
13,03,0.395103,0.427349,0.218389
13,04,0.023816,0.00807,0.00907
13,05,0.23075,0.142935,0.126636
13,06,0.209903,0.150739,0.094992
13,07,0.284646,0.275221,0.140877
13,08,0.495982,0.693909,0.500074
13,09,0.586857,0.810265,0.518647
13,10,0.575379,0.44169,0.380664
13,11,0.463694,0.436025,0.272416
13,12,0.105535,0.04337,0.036205
13,13,0.307029,0.258504,0.116343
13,14,0.135719,0.123618,0.062028
13,15,0.048259,0.10154,0.048394
13,16,0.056656,0.067309,0.068053
13,17,0.079329,0.121382,0.092921
13,18,0.251313,0.276044,0.190944
13,19,0.161612,0.088613,0.069293
13,20,0.121306,0.042217,0.0403
13,21,0.32064,0.166474,0.103855
13,22,0.350989,0.253519,0.164775
13,23,0.214609,0.222008,0.082549
13,24,0.362901,0.298995,0.170501
14,01,0.217007,0.103769,0.128161
14,02,0.153262,0.077233,0.086453
14,03,0.392469,0.321873,0.281379
14,04,0.029665,0.00699,0.011612
14,05,0.286672,0.150361,0.210161
14,06,0.238256,0.140065,0.15285
14,07,0.30333,0.208999,0.153177
14,08,0.426203,0.48792,0.433109
14,09,0.468557,0.504967,0.39816
14,10,0.548966,0.295884,0.319912
14,11,0.501604,0.568036,0.40815
14,12,0.169291,0.076192,0.075233
14,13,0.386389,0.244692,0.226336
14,14,0.131278,0.095704,0.061387
14,15,0.025671,0.055468,0.028073
14,16,0.057936,0.047562,0.0472
14,17,0.063944,0.11298,0.072692
14,18,0.0652,0.123666,0.06106
14,19,0.192746,0.091505,0.108338
14,20,0.258271,0.085673,0.109687
14,21,0.374346,0.193869,0.213583
14,22,0.229378,0.10022,0.106369
14,23,0.317135,0.382439,0.20245
14,24,0.495441,0.538623,0.391552
15,01,0.314897,0.262142,0.227789
15,02,0.248456,0.20582,0.175597
15,03,0.487133,0.550585,0.362499
15,04,0.07406,0.023979,0.037502
15,05,0.384623,0.350714,0.31675
15,06,0.368166,0.374623,0.282555
15,07,0.411011,0.280618,0.229649
15,08,0.332139,0.34729,0.327559
15,09,0.457065,0.410696,0.353818
15,10,0.566743,0.393257,0.38449
15,11,0.640221,0.686878,0.671095
15,12,0.440155,0.36999,0.243292
15,13,0.520331,0.52747,0.376162
15,14,0.085661,0.056293,0.04134
15,15,0.025945,0.043927,0.022237
15,16,0.160752,0.102478,0.095148
15,17,0.107142,0.097482,0.084234
15,18,0.231214,0.225156,0.165718
15,19,0.219904,0.189117,0.158339
15,20,0.396363,0.22402,0.171556
15,21,0.479347,0.336252,0.283888
15,22,0.320183,0.206971,0.193406
15,23,0.374126,0.357527,0.331168
15,24,0.604506,0.578123,0.56022
16,01,0.416208,0.373518,0.304462
16,02,0.346207,0.31349,0.244993
16,03,0.610258,0.708563,0.481716
16,04,0.083438,0.016681,0.033883
16,05,0.483937,0.461057,0.401693
16,06,0.441825,0.383346,0.287277
16,07,0.585695,0.439696,0.353483
16,08,0.453022,0.465917,0.385351
16,09,0.599556,0.675774,0.483148
16,10,0.664667,0.519902,0.443619
16,11,0.825398,0.839529,0.790476
16,12,0.584511,0.663428,0.361414
16,13,0.441724,0.313648,0.2612
16,14,0.09404,0.056134,0.032079
16,15,0.037393,0.079529,0.03969
16,16,0.034165,0.058847,0.045201
16,17,0.083636,0.09759,0.063893
16,18,0.345734,0.297809,0.244249
16,19,0.400891,0.355802,0.293868
16,20,0.407852,0.198001,0.153505
16,21,0.675431,0.690976,0.488209
16,22,0.53005,0.418854,0.333405
16,23,0.695513,0.725077,0.694633
16,24,0.70377,0.721914,0.642665
17,01,0.324339,0.287112,0.266163
17,02,0.260439,0.229918,0.209906
17,03,0.504951,0.596397,0.441633
17,04,0.069408,0.017676,0.033662
17,05,0.414015,0.384867,0.394188
17,06,0.361963,0.35968,0.299096
17,07,0.475619,0.301428,0.288017
17,08,0.359885,0.418843,0.355307
17,09,0.51333,0.592059,0.436182
17,10,0.564335,0.358563,0.387232
17,11,0.679125,0.779681,0.785196
17,12,0.466879,0.389486,0.291006
17,13,0.438887,0.54823,0.354051
17,14,0.103697,0.076642,0.045694
17,15,0.025367,0.045817,0.025914
17,16,0.150537,0.094725,0.093861
17,17,0.095455,0.118154,0.076302
17,18,0.201792,0.16709,0.128247
17,19,0.252742,0.227336,0.213883
17,20,0.380985,0.205313,0.175125
17,21,0.514555,0.374891,0.349274
17,22,0.444145,0.271089,0.253624
17,23,0.571657,0.623449,0.628413
17,24,0.620206,0.641614,0.622802
18,01,0.223297,0.132467,0.147777
18,02,0.173694,0.09875,0.103404
18,03,0.424509,0.39831,0.269028
18,04,0.028081,0.012521,0.012204
18,05,0.294522,0.183812,0.219253
18,06,0.277059,0.248365,0.196376
18,07,0.298683,0.203811,0.138707
18,08,0.414084,0.531006,0.408706
18,09,0.515074,0.573781,0.429957
18,10,0.530831,0.316401,0.288638
18,11,0.573732,0.708474,0.598745
18,12,0.30279,0.221597,0.167781
18,13,0.41717,0.340722,0.249726
18,14,0.107968,0.086508,0.041783
18,15,0.024744,0.04176,0.022551
18,16,0.103226,0.100387,0.079522
18,17,0.06981,0.099161,0.063204
18,18,0.222792,0.277795,0.197529
18,19,0.185432,0.09942,0.119099
18,20,0.285653,0.135388,0.113426
18,21,0.444753,0.276229,0.236125
18,22,0.375581,0.27909,0.191716
18,23,0.267382,0.318463,0.140244
18,24,0.544384,0.554646,0.456314
19,01,0.242138,0.164692,0.165421
19,02,0.191074,0.123819,0.118667
19,03,0.408792,0.396391,0.311512
19,04,0.035238,0.009266,0.017169
19,05,0.305748,0.207384,0.243731
19,06,0.24698,0.169563,0.16608
19,07,0.297315,0.20729,0.156755
19,08,0.432943,0.508957,0.417698
19,09,0.429843,0.396206,0.301719
19,10,0.466959,0.276752,0.292608
19,11,0.508427,0.490463,0.411785
19,12,0.122322,0.069192,0.055946
19,13,0.416891,0.397381,0.285592
19,14,0.076113,0.053657,0.032773
19,15,0.02727,0.072921,0.036345
19,16,0.029825,0.039648,0.034221
19,17,0.066938,0.085385,0.065253
19,18,0.156748,0.144672,0.114756
19,19,0.228929,0.14933,0.152393
19,20,0.286801,0.115187,0.098992
19,21,0.402038,0.265371,0.233794
19,22,0.367548,0.229232,0.198417
19,23,0.125991,0.169473,0.06074
19,24,0.472896,0.405108,0.311046
20,01,0.300655,0.213295,0.209621
20,02,0.240432,0.171171,0.159464
20,03,0.436065,0.379243,0.370808
20,04,0.072508,0.020514,0.033457
20,05,0.375264,0.305963,0.309157
20,06,0.410773,0.450654,0.345632
20,07,0.303086,0.126581,0.131963
20,08,0.362398,0.360125,0.330467
20,09,0.436703,0.391025,0.335194
20,10,0.386486,0.223493,0.238651
20,11,0.484953,0.544146,0.510932
20,12,0.297776,0.219588,0.185419
20,13,0.448345,0.456534,0.352587
20,14,0.099305,0.068843,0.047519
20,15,0.024421,0.050059,0.02203
20,16,0.105413,0.046118,0.050575
20,17,0.139526,0.109431,0.093191
20,18,0.192543,0.134098,0.104692
20,19,0.299158,0.24802,0.194286
20,20,0.318896,0.144551,0.149425
